"Case ID";"Throughput time"
"505451066872800010";"6"
"505451066617200010";"1"
"505451066822800010";""
"505453003243900010";"85"
"505451067814100020";"121"
"505451069182900010";"18"
"505450051627400030";"59"
"505453003159500010";"34"
"505450051491700010";"58"
"505451067814100010";"121"
"505453003336600010";"1"
"505451067424600010";"39"
"505453003159700020";""
"505453003155300030";"0"
"505451069387100010";"0"
"505451068315800020";"42"
"505451067780600030";"64"
"505453003303100020";"24"
"505451065967300020";"178"
"505450052194300010";"6"
"505451068913900010";"34"
"505450051319700030";""
"505451067046700010";"7"
"505451068575700020";"10"
"505450051530100010";"51"
"505451067635200020";"67"
"505450051632400010";"58"
"505451068419400010";"68"
"505451066884400010";""
"505451069554700010";"1"
"505450051304600010";"4"
"505451068919500010";"0"
"505453003174600010";"7"
"505451067645000010";"0"
"505451066264200060";"91"
"505450052152700010";"10"
"505451068144900090";"4"
"505453003133500010";"122"
"505451066527700040";"27"
"505450052239700010";""
"505450051851900010";"43"
"505451067880700010";"84"
"505451067220300130";"176"
"505451067357300010";"134"
"505450052112800030";""
"505450051796400020";"19"
"505451066553500010";""
"505451066635100210";"27"
"505451067345300010";"135"
"505451068144900100";"4"
"505453003209800060";"138"
"505450052009900040";"9"
"505451068372700010";"10"
"505450051304600030";"151"
"505451068795900010";"58"
"505450051484200020";""
"505450051936900050";"26"
"505451067403000010";"166"
"505450051210500020";"2"
"505450051308600010";"68"
"505451068173500010";"99"
"505451066635100040";"27"
"505450051484600040";""
"505453003171100020";"76"
"505450051094800010";"77"
"505450051555600010";"12"
"505451066530500010";"27"
"505450051484600080";""
"505451068639700010";"25"
"505451068086000010";"5"
"505450051904300010";"8"
"505450051851400010";"9"
"505451067345800010";"135"
"505450051923900080";"48"
"505450052112800060";"24"
"505451068629900010";"42"
"505453003174500020";"107"
"505450052122200010";"13"
"505453003140900010";""
"505453003284100010";"38"
"505451067383500010";"133"
"505451067979900080";"6"
"505451068629000010";"70"
"505451068628900010";"71"
"505451067980600130";"5"
"505450051729200060";"4"
"505451068700800010";"48"
"505451068173300020";"8"
"505453003172700030";"127"
"505451067980600190";"5"
"505450051446900040";"180"
"505453003234700020";"127"
"505450051484600090";""
"505453003221700020";"123"
"505451069100000010";"38"
"505451067581100010";"87"
"505450051887700010";"11"
"505450051160300020";"151"
"505453003234700010";"127"
"505450051210500010";"151"
"505451068245700010";"36"
"505453003216100030";"160"
"505451066540900010";"28"
"505453003171000010";"121"
"505451067984100010";"5"
"505450051446900030";"180"
"505451068544700030";"7"
"505450052027800040";"60"
"505451067092500040";"180"
"505451067979900050";"6"
"505453003164500020";"90"
"505450052264800010";"5"
"505450051069500010";"77"
"505451069366500050";"5"
"505451069366500030";"5"
"505450052246000010";""
"505451066093600010";""
"505453003252500010";"113"
"505451067979600100";"9"
"505451067667100010";"106"
"505451066264200170";"0"
"505451068079100010";"71"
"505450051923900040";"28"
"505453003209800070";"138"
"505451067980600110";"5"
"505451068101600010";"70"
"505451067547600010";"0"
"505453003226600020";"141"
"505451068970700010";"35"
"505450051057100010";"77"
"505451067980600090";"5"
"505451068144900080";"4"
"505451067980600180";"5"
"505451066264200120";"91"
"505453003339800010";"0"
"505453003172700020";"127"
"505451067069900010";"69"
"505450051629100010";"1"
"505451066479500010";""
"505451067185700010";"147"
"505451067900500020";"10"
"505450051446900070";"180"
"505451068144900040";"4"
"505450051650100010";"15"
"505450051512800010";"28"
"505450052239700030";""
"505451066416300010";""
"505453003285400010";"31"
"505450051887700020";"4"
"505450052117000040";"7"
"505455000090500010";"113"
"505451068639800010";"7"
"505451069221600010";"1"
"505451067979600180";"9"
"505451067979600030";"9"
"505450052152400030";"7"
"505450051375600010";"180"
"505451068047900010";"107"
"505451066479600020";"30"
"505450051923900050";"48"
"505451067220300180";"176"
"505451069483600010";"0"
"505451068639700030";"25"
"505450051544100020";"6"
"505453003291800010";"43"
"505451067172900010";"181"
"505451067092500060";"180"
"505453003164500060";"150"
"505451068769400040";"5"
"505451066540900040";"28"
"505451067980900130";"5"
"505451067221500010";"176"
"505451068769400050";"5"
"505451066635100250";"30"
"505451066635100140";"30"
"505450052260100020";"3"
"505451066264200070";"90"
"505451068639500010";"12"
"505451067980600100";"5"
"505450051333700020";"1"
"505451069482900010";"0"
"505453003188600010";"88"
"505451067979600080";"9"
"505451068544700080";"7"
"505451068053200030";"3"
"505451067092500090";"180"
"505451068544700010";"7"
"505453003266000030";"78"
"505451067346000010";"135"
"505453003209800020";"138"
"505451067092500050";"180"
"505453003130900040";"23"
"505453003285300010";"25"
"505451068173300030";"8"
"505451067172900020";"181"
"505451067345100010";"140"
"505450051140300010";"77"
"505451067344900010";"169"
"505450051936900010";"21"
"505451067309900010";"140"
"505451066635100230";"27"
"505450051239400010";"151"
"505451069482400010";"0"
"505453003212100010";"136"
"505451067877100030";"4"
"505451067070000030";"153"
"505451068969100060";"17"
"505450051355900040";"148"
"505450051465900010";""
"505451067877000040";"1"
"505451067134100010";"175"
"505450051484200050";""
"505451068815400010";"58"
"505451066264200150";"91"
"505451067980600010";"5"
"505451068145200010";"9"
"505453003231600010";"70"
"505451067343800010";"169"
"505453003267300020";"64"
"505455000088400010";"17"
"505451067980600030";"5"
"505451068144900120";"4"
"505451066635100160";"30"
"505451066635100030";"27"
"505450051936900040";"26"
"505451067979900010";"6"
"505450052009900030";"13"
"505450051057100020";"77"
"505451066264200210";"90"
"505451066553400010";"16"
"505451068144900110";"4"
"505450051664000010";"5"
"505453003116800010";"3"
"505450051304600050";"151"
"505450051484200040";""
"505451069035200020";"5"
"505451066038400010";"89"
"505453003285400030";"31"
"505451067980900190";"5"
"505451067172300040";"181"
"505451067980600120";"5"
"505451067979600120";"9"
"505450051636900010";"113"
"505450051526600010";"6"
"505451066116000020";"43"
"505451068251500010";"65"
"505451068144900140";"4"
"505453003284100030";"38"
"505451069303300010";"0"
"505453003221700030";"123"
"505450051547300010";"7"
"505453003178900010";"107"
"505451068732800010";"63"
"505451067645100010";"0"
"505451067220300210";"176"
"505451067069600010";"169"
"505451068969100010";"17"
"505451067220300120";"176"
"505451067877000030";"1"
"505451067233800010";"176"
"505453003266000040";"78"
"505451068053200060";"3"
"505451066173600010";""
"505450051887700030";"2"
"505451067547700020";"119"
"505451067172300050";"181"
"505451066461400010";""
"505451067877100020";"4"
"505450051375600020";"180"
"505451068639700020";"25"
"505451067240000040";"167"
"505451067309700010";"144"
"505451069454000040";"6"
"505451067874600010";"89"
"505451067979600020";"9"
"505453003232800010";"128"
"505451068693900010";"0"
"505451066479600060";"30"
"505450051110400020";"77"
"505451067877100050";"4"
"505450051957300010";"21"
"505450051737200010";"121"
"505451066416300020";""
"505451067999500020";"11"
"505450051949800010";"73"
"505451067980900180";"5"
"505451067812900010";"121"
"505451068144900070";"4"
"505451067220300070";"176"
"505450052122200020";"10"
"505451067675100010";"105"
"505450052009900020";"13"
"505453003323700010";"33"
"505450052175600020";"1"
"505453003188700010";"107"
"505453003331300030";"13"
"505451067505000010";"155"
"505453003239200040";"43"
"505451067308800010";"174"
"505451067980600080";"111"
"505451069303700010";"19"
"505451067028900010";"90"
"505451067980900050";"5"
"505451069454000020";"6"
"505450052196100020";"5"
"505451068421200010";"82"
"505451066157200020";"43"
"505451068085800020";"12"
"505451067308600010";"140"
"505451067979600090";"9"
"505450051905000010";"29"
"505453003242200020";"72"
"505451067900500010";"10"
"505450051161100040";"151"
"505451066635100190";"30"
"505451069483700010";"0"
"505453003141000020";""
"505451067980900070";"5"
"505451067240000020";"167"
"505451068544800020";"1"
"505451067220300110";"176"
"505451067488700010";"145"
"505453003290400010";"59"
"505451068053200040";"3"
"505451068544700090";"7"
"505450051161100010";"79"
"505451068628800010";"70"
"505450051480800020";""
"505451066264200200";"83"
"505450051304600060";"151"
"505451066635100050";"27"
"505453003339800040";"0"
"505451065975300010";"7"
"505451067220300170";"176"
"505451068969700010";"7"
"505450051616400010";"4"
"505453003209800080";"138"
"505453003180600020";"53"
"505451067070000010";"153"
"505453003174600040";"35"
"505450052238100030";"6"
"505451069331100010";"10"
"505450051787500010";"8"
"505451066667500010";"83"
"505451068446600010";"82"
"505451068969100030";"17"
"505451068144900030";"4"
"505450051459900010";""
"505450051648100010";"4"
"505451067010600010";"42"
"505450052129900010";"5"
"505451067877100070";"4"
"505451067505600010";"156"
"505451068322900010";"14"
"505451067220300010";"176"
"505450052224700020";"19"
"505453003353100020";"0"
"505450051923900020";"21"
"505450051855400080";"8"
"505451068144900050";"4"
"505451067979900070";"6"
"505451069366500070";"5"
"505450052117000030";"24"
"505451069407500010";"12"
"505450051259300010";"151"
"505453003212500030";"75"
"505451066635100240";"22"
